S.No.,Book id,Book Name,Book Author,Subject,Publisher,Price,Stock,Remarks
,1,Jungle Book,Rudyard Kipling,Novel,SSJ,150,0,Great
,2,C programming,Bjarne Stratosphe,Programming,RJ,280,1,Nice
,3,C++ programming,Some one,Programming,BS,134,1,Super
,4,JAVA Programming,SOmeone great,Programming,JJ,234,1,Great
,5,Python programming,Legend,Programming,LA,634,1,Great
,6,Pearl programming,Pearl Inc,Programming,QSPQ,231,1,Super
,7,Ruby programming,Google,Programming,DIOQS,756,1,Super
,8,SOA,Sandhya,Architecture,SAJ,123,1,Super
,9,HTML,Sakthi,Programming,TT,675,1,Super
,10,CSS,Reddy,Programming,SAO,347,1,Nice
,11,J2EE,Rukesh,Architecture,QOKJ,824,1,Nice
,12,Captain America Comics,Stanlee,Comic,SL,435,1,Nice
,13,Spider Man Comics,stanlee,Comic,SL,435,1,Great
,14,Iron man Comics,Jack kirby,Comic,SL,123,1,Nice
,15,Thor Comics,Stanlee,Comic,SL,547,1,Super
,16,War Machine Comics,Stanlee,Comic,SL,95,1,Nice
,17,Hulk Comics,Jack kirby,Comic,SL,345,1,Nice
,18,Black widow comics,Stanlee,Comic,SL,213,1,Great
